"week_number","region","week","cases","day"
6,"East Midlands","2020-02-21",1,51
7,"East Midlands","2020-02-25",6,55
8,"East Midlands","2020-03-03",35,62
9,"East Midlands","2020-03-10",155,69
10,"East Midlands","2020-03-17",485,76
11,"East Midlands","2020-03-24",1034,83
12,"East Midlands","2020-03-31",1594,90
13,"East Midlands","2020-04-07",1380,97
14,"East Midlands","2020-04-14",1581,104
15,"East Midlands","2020-04-21",1933,111
16,"East Midlands","2020-04-28",1845,118
17,"East Midlands","2020-05-05",1875,125
18,"East Midlands","2020-05-12",1825,132
19,"East Midlands","2020-05-19",1589,139
20,"East Midlands","2020-05-26",1227,146
21,"East Midlands","2020-06-02",1094,153
22,"East Midlands","2020-06-09",1144,160
23,"East Midlands","2020-06-16",1096,167
24,"East Midlands","2020-06-23",874,174
25,"East Midlands","2020-06-30",813,181
26,"East Midlands","2020-07-07",656,188
27,"East Midlands","2020-07-14",568,195
28,"East Midlands","2020-07-21",506,202
29,"East Midlands","2020-07-28",602,209
30,"East Midlands","2020-08-04",761,216
31,"East Midlands","2020-08-11",742,223
32,"East Midlands","2020-08-18",566,230
33,"East Midlands","2020-08-25",538,237
34,"East Midlands","2020-09-01",1461,244
35,"East Midlands","2020-09-08",1457,251
36,"East Midlands","2020-09-15",1763,258
37,"East Midlands","2020-09-22",2507,265
38,"East Midlands","2020-09-29",7456,272
39,"East Midlands","2020-10-06",10544,279
40,"East Midlands","2020-10-13",10753,286
41,"East Midlands","2020-10-20",13493,293
42,"East Midlands","2020-10-27",14321,300
43,"East Midlands","2020-11-03",15750,307
44,"East Midlands","2020-11-10",15326,314
45,"East Midlands","2020-11-17",10641,321
46,"East Midlands","2020-11-24",8200,328
47,"East Midlands","2020-12-01",8224,335
48,"East Midlands","2020-12-08",9780,342
49,"East Midlands","2020-12-15",12202,349
50,"East Midlands","2020-12-22",12952,356
51,"East Midlands","2020-12-29",22892,363
52,"East Midlands","2021-01-05",20475,370
53,"East Midlands","2021-01-12",18962,377
54,"East Midlands","2021-01-19",15809,384
55,"East Midlands","2021-01-26",13496,391
56,"East Midlands","2021-02-02",10584,398
57,"East Midlands","2021-02-09",8765,405
58,"East Midlands","2021-02-16",7899,412
59,"East Midlands","2021-02-23",5331,419
60,"East Midlands","2021-03-02",4034,426
61,"East Midlands","2021-03-09",3630,433
62,"East Midlands","2021-03-16",3645,440
63,"East Midlands","2021-03-23",3217,447
64,"East Midlands","2021-03-30",2010,454
65,"East Midlands","2021-04-06",1763,461
66,"East Midlands","2021-04-13",1292,468
