"region","week","S_plus","S_minus","p","N","logitp","day"
"East Midlands",2020-09-01,"689","29",0.0154850290058061,"718",-4.1522754180831,244
"East Midlands",2020-09-08,"612","3",0,"615",-Inf,251
"East Midlands",2020-09-15,"781","6",0,"787",-Inf,258
"East Midlands",2020-09-22,"1220","19",0,"1239",-Inf,265
"East Midlands",2020-09-29,"1827","17",0,"1844",-Inf,272
"East Midlands",2020-10-06,"2873","55",0,"2928",-Inf,279
"East Midlands",2020-10-13,"2996","50",0,"3046",-Inf,286
"East Midlands",2020-10-20,"3960","87",0,"4047",-Inf,293
"East Midlands",2020-10-27,"4629","111",0,"4740",-Inf,300
"East Midlands",2020-11-03,"4672","89",0,"4761",-Inf,307
"East Midlands",2020-11-10,"7157","152",0,"7309",-Inf,314
"East Midlands",2020-11-17,"6433","223",0.00948502900580607,"6656",-4.64851031915353,321
"East Midlands",2020-11-24,"4688","241",0.0244850290058061,"4929",-3.68490363715167,328
"East Midlands",2020-12-01,"4675","485",0.0694850290058061,"5160",-2.59462684576771,335
"East Midlands",2020-12-08,"4895","983",0.142485029005806,"5878",-1.79480170319187,342
"East Midlands",2020-12-15,"1657","665",0.261485029005806,"2322",-1.03826434252112,349
"East Midlands",2020-12-22,"1382","1698",0.526485029005806,"3080",0.106039366378736,356
"East Midlands",2020-12-29,"1512","3161",0.651485029005806,"4673",0.625573229376849,363
"East Midlands",2021-01-05,"1446","4926",0.748485029005806,"6372",1.09054868774738,370
"East Midlands",2021-01-12,"999","4786",0.802485029005806,"5785",1.40189881541512,377
"East Midlands",2021-01-19,"638","4391",0.848485029005806,"5029",1.72276800193695,384
"East Midlands",2021-01-26,"322","4046",0.901485029005806,"4368",2.21383490932788,391
"East Midlands",2021-02-02,"149","2690",0.923485029005806,"2839",2.49066816740456,398
"East Midlands",2021-02-09,"60","2442",0.951485029005806,"2502",2.97615152191034,405
"East Midlands",2021-02-16,"54","2232",0.951485029005806,"2286",2.97615152191034,412
"East Midlands",2021-02-23,"28","1551",0.957485029005806,"1579",3.11445381284073,419
"East Midlands",2021-03-02,"22","1191",0.957485029005806,"1213",3.11445381284073,426
"East Midlands",2021-03-09,"24","2444",0.965485029005806,"2468",3.33123742402643,433
"East Midlands",2021-03-16,"12","2482",0.970485029005806,"2494",3.49289835048282,440
"East Midlands",2021-03-23,"4","2187",0.973485029005806,"2191",3.60317292951991,447
"East Midlands",2021-03-30,"14","1488",0.966485029005806,"1502",3.36167357427026,454
"East Midlands",2021-04-06,"27","810",0.943485029005806,"837",2.81507492077257,461
"East Midlands",2021-04-13,"26","662",0.937485029005806,"688",2.70779472469127,468
"East Midlands",2021-04-20,"0","1",0.975485029005806,"NA",3.68365082103337,475
"East of England",2020-09-01,"470","28",0.0314850290058061,"498",-3.42625177744799,244
"East of England",2020-09-08,"403","24",0.0314850290058061,"427",-3.42625177744799,251
"East of England",2020-09-15,"357","30",0.0534850290058061,"387",-2.8733850046649,258
"East of England",2020-09-22,"786","61",0.0474850290058061,"847",-2.99869134192037,265
"East of England",2020-09-29,"1206","61",0.0234850290058061,"1267",-3.7276269269223,272
"East of England",2020-10-06,"1525","107",0.0414850290058061,"1632",-3.14005256625052,279
"East of England",2020-10-13,"2440","110",0.0184850290058061,"2550",-3.97213610523711,286
"East of England",2020-10-20,"2908","128",0.0174850290058061,"3036",-4.02877055186994,293
