"country","country_code","year_week","source","new_cases","number_sequenced","percent_cases_sequenced","valid_denominator","variant","number_detections_variant","percent_variant","week","year"
"Austria","AT","2021-13","TESSy",21900,14409,65.8,"Yes","B.1.617.2",1,0,13,2021
"Austria","AT","2021-15","TESSy",16316,12042,73.8,"Yes","B.1.617.2",1,0,15,2021
"Austria","AT","2021-16","TESSy",15250,11336,74.3,"Yes","B.1.617.2",2,0,16,2021
"Austria","AT","2021-17","TESSy",12836,9479,73.8,"Yes","B.1.617.2",1,0,17,2021
"Austria","AT","2021-18","TESSy",8730,6568,75.2,"Yes","B.1.617.2",3,0,18,2021
"Austria","AT","2021-19","TESSy",5998,4208,70.2,"Yes","B.1.617.2",4,0.1,19,2021
"Austria","AT","2021-20","TESSy",4307,2931,68.1,"Yes","B.1.617.2",8,0.3,20,2021
"Austria","AT","2021-21","TESSy",3147,2119,67.3,"Yes","B.1.617.2",24,1.1,21,2021
"Austria","AT","2021-22","TESSy",2256,1776,78.7,"Yes","B.1.617.2",63,3.5,22,2021
"Austria","AT","2021-23","TESSy",1793,1292,72.1,"Yes","B.1.617.2",193,14.9,23,2021
"Austria","AT","2021-24","TESSy",635,771,100,"Yes","B.1.617.2",305,39.6,24,2021
"Austria","AT","2021-25","TESSy",759,493,65,"Yes","B.1.617.2",270,54.8,25,2021
"Austria","AT","2021-26","TESSy",647,477,73.7,"Yes","B.1.617.2",354,74.2,26,2021
"Austria","AT","2021-27","TESSy",674,815,100,"Yes","B.1.617.2",718,88.1,27,2021
"Austria","AT","2021-28","TESSy",2067,1657,80.2,"Yes","B.1.617.2",1462,88.2,28,2021
"Austria","AT","2021-29","TESSy",2514,1853,73.7,"Yes","B.1.617.2",1681,90.7,29,2021
"Belgium","BE","2021-20","TESSy",17289,1749,10.1,"Yes","B.1.617.2",88,5,20,2021
"Belgium","BE","2021-21","TESSy",12212,1260,10.3,"Yes","B.1.617.2",79,6.3,21,2021
"Belgium","BE","2021-22","TESSy",9116,1198,13.1,"Yes","B.1.617.2",114,9.5,22,2021
